TP_SEXO,TP_COR_RACA,TP_ESCOLA,Q024,Q025
Masculino,Parda,Não Respondeu,"Sim, um",Não
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Preta,Pública,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Não
Masculino,Não declarado,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Não
Feminino,Preta,Pública,"Sim, um",Sim
Masculino,Parda,Não Respondeu,Não,Não
Feminino,Parda,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Pública,"Sim, um",Sim
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Pública,Não,Sim
Feminino,Preta,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Pública,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,Não,Sim
Masculino,Parda,Pública,"Sim, dois",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Pública,Não,Sim
Masculino,Branca,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Pública,"Sim, um",Sim
Feminino,Parda,Pública,"Sim, um",Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Não Respondeu,Não,Não
Masculino,Branca,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Amarela,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Não
Feminino,Branca,Não Respondeu,"Sim, dois",Sim
Feminino,Branca,Não Respondeu,Não,Sim
Feminino,Preta,Não Respondeu,Não,Não
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, dois",Sim
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Preta,Pública,Não,Sim
Feminino,Parda,Pública,Não,Não
Masculino,Parda,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,Não,Sim
Feminino,Branca,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Não
Masculino,Preta,Pública,"Sim, um",Sim
Feminino,Branca,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Não
Masculino,Branca,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,Não,Não
Feminino,Parda,Pública,"Sim, um",Sim
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Pública,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Sim
Masculino,Preta,Não Respondeu,Não,Sim
Masculino,Parda,Exterior,"Sim, um",Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,Não,Não
Feminino,Amarela,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Pública,Não,Sim
Feminino,Parda,Não Respondeu,Não,Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Exterior,Não,Sim
Feminino,Parda,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,Não,Sim
Masculino,Preta,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Pública,Não,Sim
Feminino,Parda,Não Respondeu,Não,Sim
Feminino,Preta,Não Respondeu,Não,Sim
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Branca,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Não
Feminino,Parda,Não Respondeu,Não,Não
Masculino,Branca,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,"Sim, três",Sim
Feminino,Parda,Não Respondeu,Não,Sim
Feminino,Preta,Não Respondeu,Não,Não
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Não declarado,Não Respondeu,"Sim, um",Sim
Feminino,Amarela,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,Não,Não
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Não
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Exterior,"Sim, um",Sim
Feminino,Amarela,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Pública,"Sim, um",Sim
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Sim
Feminino,Não declarado,Não Respondeu,"Sim, um",Não
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Sim
Feminino,Parda,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,Não,Sim
Feminino,Preta,Não Respondeu,Não,Não
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Feminino,Preta,Não Respondeu,Não,Não
Feminino,Amarela,Não Respondeu,Não,Não
Feminino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Não
Masculino,Preta,Não Respondeu,Não,Sim
Masculino,Parda,Não Respondeu,"Sim, um",Sim
Masculino,Preta,Não Respondeu,Não,Sim
Masculino,Preta,Não Respondeu,Não,Sim
Feminino,Preta,Não Respondeu,"Sim, um",Sim
Masculino,Parda,Pública,Não,Sim
Masculino,Preta,Não Respondeu,"Sim, um",Sim
Feminino,Parda,Não Respondeu,Não,Não
Feminino,Preta,Não Respondeu,Não,Sim
Feminino,Preta,Pública,Não,Sim
